"Team","Opponent","Shots","Att_rating","Def_rating","Venue","Time"
"luton","crystal",8,71.6666666666667,77,"1",13
"luton","brentford",7,71.7142857142857,73.8571428571429,"0",14
"luton","arsenal",6,71.7142857142857,82.1666666666667,"1",15
"burnley","manchester city",6,72.5714285714286,84,"1",1
"burnley","aston",9,72.6666666666667,79.875,"1",2
"burnley","tottenham",16,72.5714285714286,79,"1",3
"burnley","forest",10,72.7142857142857,76,"0",4
"burnley","manchester united",12,72.8571428571429,78.2857142857143,"1",5
"burnley","newcastle",8,73.125,79.2857142857143,"0",6
"burnley","luton",14,73,71.5,"0",7
"burnley","chelsea",10,73.25,79.5714285714286,"1",8
"burnley","brentford",6,73.3333333333333,76,"0",9
"burnley","bournemouth",6,73,73.1666666666667,"0",10
"burnley","crystal",17,72.7142857142857,76.375,"1",11
"burnley","arsenal",8,72.7142857142857,83,"0",12
"burnley","west",10,72.7142857142857,78.7142857142857,"1",13
"burnley","sheffield",19,72.75,73,"1",14
"burnley","wolves",12,72.75,75.8571428571429,"0",15
"sheffield","crystal",8,69.1666666666667,77,"1",1
"sheffield","forest",7,70.5714285714286,73.25,"0",2
"sheffield","manchester city",6,70.4285714285714,85,"1",3
"sheffield","everton",13,72.7142857142857,75.125,"1",4
"sheffield","tottenham",7,73.5,79,"0",5
"sheffield","newcastle",9,73.8333333333333,80.4285714285714,"1",6
"sheffield","west",16,73.5,78.7142857142857,"0",7
"sheffield","fulham",5,73.5,77.1666666666667,"0",8
"sheffield","manchester united",11,73.5,80.1428571428571,"1",9
"sheffield","arsenal",2,72.25,80.4,"0",10
"sheffield","wolves",10,72.7777777777778,75.2857142857143,"1",11
"sheffield","brighton",9,73.375,75.5714285714286,"0",12
"sheffield","bournemouth",10,73.375,74,"1",13
"sheffield","burnley",6,72.75,74,"0",14
"sheffield","liverpool",6,68.8571428571429,83.4,"1",15
"real madrid","athletic",14,84.3333333333333,75.1428571428571,"0",1
"real madrid","almeria",25,84.7777777777778,75,"0",2
"real madrid","celta",9,84.3333333333333,76.1666666666667,"0",3
"real madrid","getafe",26,83.625,75.625,"1",4
"real madrid","sociedad",17,84.25,81,"1",5
"real madrid","atletico madrid",20,84.2222222222222,82.1666666666667,"0",6
"real madrid","palmas",21,83.7142857142857,73.4285714285714,"1",7
"real madrid","girona",14,85.2857142857143,76.1428571428571,"0",8
"real madrid","osasuna",18,85,76,"1",9
"real madrid","sevilla",14,85.2222222222222,80.2857142857143,"0",10
"real madrid","barcelona",13,85.2222222222222,81.375,"0",11
"real madrid","vallecano",22,84.625,74,"1",12
"real madrid","valencia",16,84.3333333333333,74.5,"1",13
"real madrid","cadiz",14,85.1428571428571,73.3333333333333,"0",14
"real madrid","granada",11,84.25,71.4285714285714,"1",15
"girona","sociedad",6,75.875,77.8571428571429,"0",1
"girona","getafe",7,76.125,75.125,"1",2
"girona","sevilla",8,76.125,78.7142857142857,"0",3
"girona","palmas",11,76.125,73.2857142857143,"1",4
"girona","granada",13,74,73.3333333333333,"0",5
"girona","mallorca",22,74.2857142857143,76.2222222222222,"1",6
"girona","villarreal",17,75,79.7142857142857,"0",7
"girona","real madrid",13,74.2857142857143,84.7142857142857,"1",8
"girona","cadiz",20,74.25,73.6,"0",9
"girona","almeria",19,74.25,74.2857142857143,"1",10
"girona","celta",12,74.8888888888889,74.7142857142857,"1",11
"girona","osasuna",11,74.8888888888889,76.375,"0",12
"girona","vallecano",19,75.25,74,"0",13
"girona","athletic",13,76.125,76.8571428571429,"1",14
"girona","valencia",9,74.5714285714286,73.4,"1",15
"barcelona","getafe",14,85,75.125,"0",1
"barcelona","cadiz",24,84.5714285714286,73.5,"1",2
"barcelona","villarreal",21,83.75,77.625,"0",3
"barcelona","osasuna",8,84,69.7142857142857,"0",4
"barcelona","betis",17,83.8888888888889,73.8333333333333,"1",5
"barcelona","celta",15,84,74.4285714285714,"1",6
"barcelona","mallorca",10,83.125,74.875,"0",7
"barcelona","sevilla",18,84.5714285714286,76.8571428571429,"1",8
"barcelona","granada",22,81,71.4285714285714,"0",9
"barcelona","athletic",12,80.375,77.2857142857143,"1",10
"barcelona","real madrid",15,81.125,84.75,"1",11
"barcelona","sociedad",12,82.4444444444444,80.1428571428571,"0",12
"barcelona","deportivo alaves",10,82.5714285714286,72.25,"1",13
"barcelona","vallecano",15,84.3333333333333,75.3333333333333,"0",14
"barcelona","atletico madrid",13,85.8571428571429,82.3333333333333,"1",15
"atletico madrid","granada",14,83.3333333333333,72.7142857142857,"1",1
"atletico madrid","betis",5,82.8571428571429,76.5,"0",2
"atletico madrid","vallecano",17,81.5714285714286,76.3333333333333,"0",3
"atletico madrid","valencia",11,80.75,75.125,"0",4
"atletico madrid","real madrid",10,82.3333333333333,84.2222222222222,"1",5
"atletico madrid","osasuna",5,81.8571428571429,74.875,"0",6
"atletico madrid","cadiz",18,81.375,72.6666666666667,"1",7
"atletico madrid","sociedad",13,82,80.1428571428571,"1",8
"atletico madrid","celta",11,80.5,75.2857142857143,"0",9
"atletico madrid","deportivo alaves",11,81.8571428571429,73,"1",10
"atletico madrid","palmas",13,81,71.8888888888889,"0",11
"atletico madrid","villarreal",25,81.8571428571429,77.2857142857143,"1",12
"atletico madrid","mallorca",20,80.75,75.2222222222222,"1",13
"atletico madrid","barcelona",8,82.4285714285714,85.5,"0",14
"athletic","real madrid",7,77.5,83.875,"1",1
"athletic","osasuna",8,78,77.5,"0",2
"athletic","betis",12,77.25,76.5,"1",3
"athletic","mallorca",11,78.375,75.75,"0",4
"athletic","cadiz",20,79,74.2,"1",5
"athletic","deportivo alaves",11,79,72.4285714285714,"0",6
"athletic","getafe",8,79.375,75,"1",7
"athletic","sociedad",18,79.25,81,"0",8
"athletic","almeria",23,79.25,72.7142857142857,"1",9
"athletic","barcelona",10,78.875,80.625,"0",10
"athletic","valencia",12,77.75,75,"1",11
"athletic","villarreal",17,78.5,75.125,"0",12
"athletic","celta",20,78.5,75.1428571428571,"1",13
"athletic","girona",13,78.5,76.5714285714286,"0",14
"athletic","vallecano",9,78.625,75.1428571428571,"1",15
"sociedad","girona",15,77,76.8571428571429,"1",1
"sociedad","celta",11,75.8571428571429,73.2857142857143,"1",2
"sociedad","palmas",8,78.1428571428571,73.2857142857143,"0",3
"sociedad","granada",15,80.4285714285714,72.1666666666667,"1",4
"sociedad","real madrid",15,80.4285714285714,84.25,"0",5
"sociedad","getafe",9,75.8333333333333,75.25,"1",6
"sociedad","valencia",2,77.5,75.7142857142857,"0",7
"sociedad","athletic",8,79.5714285714286,79,"1",8
"sociedad","atletico madrid",13,79.5714285714286,81.6666666666667,"0",9
"sociedad","mallorca",14,78.75,74.25,"1",10
"sociedad","vallecano",14,77.2857142857143,75,"0",11
"sociedad","barcelona",13,79.5714285714286,81.625,"1",12
"sociedad","almeria",17,76.8888888888889,74.5,"0",13
"sociedad","sevilla",11,78.7142857142857,79.1428571428571,"1",14
"sociedad","osasuna",17,79.5714285714286,76.375,"0",15
"betis","villarreal",12,77.1666666666667,77.375,"0",1
"betis","atletico madrid",14,77,81.7142857142857,"1",2
"betis","athletic",9,75.8333333333333,74.5,"0",3
"betis","vallecano",14,77,76.3333333333333,"1",4
"betis","barcelona",11,74.5,83.5714285714286,"0",5
"betis","cadiz",21,77,73.6,"1",6
"betis","granada",13,71.6666666666667,72.1428571428571,"0",7
"betis","valencia",15,74.6,73.6666666666667,"1",8
"betis","deportivo alaves",6,72.3333333333333,72,"0",9
"betis","getafe",13,73.8333333333333,75.2857142857143,"0",10
"betis","osasuna",9,73.5714285714286,76.5,"1",11
"betis","mallorca",22,73.5714285714286,74.375,"1",12
"betis","sevilla",14,73.5714285714286,78.25,"0",13
"betis","palmas",12,76.2857142857143,71.8888888888889,"1",14
"betis","almeria",6,72.8571428571429,75.8333333333333,"0",15
"palmas","mallorca",4,72.7777777777778,75.5,"1",1
"palmas","valencia",7,73.4,77.1666666666667,"0",2
"palmas","sociedad",11,73.6,80.1428571428571,"1",3
"palmas","girona",10,73.4,77.1428571428571,"0",4
"palmas","sevilla",14,73.6,79.1428571428571,"0",5
"palmas","granada",10,73.5,72,"1",6
"palmas","real madrid",16,72.7777777777778,84.3333333333333,"0",7
"palmas","celta",15,72.3,75.7142857142857,"1",8
"palmas","villarreal",7,72.6666666666667,79.8571428571429,"0",9
"palmas","vallecano",11,72.6666666666667,75.8571428571429,"1",10
"palmas","almeria",10,71.7777777777778,74.4285714285714,"0",11
"palmas","atletico madrid",9,72.2222222222222,80.5,"1",12
